date,open
2014-06-26,20.97
2014-06-25,21.17
2014-06-24,20.8
2014-06-23,20.65
2014-06-20,21.3
2014-06-19,21.47
2014-06-18,21.46
2014-06-17,21.55
2014-06-16,21.4
2014-06-13,21.47
2014-06-12,21.3
2014-06-11,21.38
2014-06-10,21.52
2014-06-09,21.36
2014-06-06,21.48
2014-06-05,21.5
2014-06-04,21.65
2014-06-03,21.75
2014-06-02,22.05
2014-05-30,21.75
2014-05-29,21.68
2014-05-28,21.55
2014-05-27,21.62
2014-05-26,21.7
2014-05-23,21.92
2014-05-22,21.97
2014-05-21,21.95
2014-05-20,22.4
2014-05-19,21.93
2014-05-16,22.59
2014-05-15,22.73
2014-05-14,23.2
2014-05-13,23.1
2014-05-12,23.38
2014-05-09,23.01
2014-05-08,22.75
2014-05-07,22.55
2014-05-06,22.46
2014-05-05,22.27
2014-05-02,22.0
2014-04-30,21.9
2014-04-29,21.94
2014-04-28,22.05
2014-04-25,22.0
2014-04-24,21.69
2014-04-23,21.2
2014-04-22,20.78
2014-04-17,20.66
2014-04-16,20.62
2014-04-15,20.81
2014-04-14,20.85
2014-04-11,21.45
2014-04-10,21.6
2014-04-09,21.37
2014-04-08,21.08
2014-04-07,21.7
2014-04-04,21.2
2014-04-03,20.87
2014-04-02,20.55
2014-04-01,20.52
2014-03-31,20.85
2014-03-28,20.6
2014-03-27,20.5
2014-03-26,20.5
2014-03-25,20.19
2014-03-24,20.09
2014-03-21,20.3
2014-03-20,20.2
2014-03-19,20.2
2014-03-18,20.09
2014-03-17,19.85
2014-03-14,19.76
2014-03-13,20.55
2014-03-12,21.01
2014-03-11,20.62
2014-03-10,21.27
2014-03-07,21.5
2014-03-06,21.23
2014-03-05,20.98
2014-03-04,21.55
2014-03-03,22.0
2014-02-28,22.0
2014-02-27,22.22
2014-02-26,22.4
2014-02-25,22.07
2014-02-24,22.05
2014-02-21,22.31
2014-02-20,22.39
2014-02-19,22.3
2014-02-18,22.44
2014-02-17,22.37
2014-02-14,22.9
2014-02-13,21.38
2014-02-12,21.62
2014-02-11,21.5
2014-02-10,20.94
2014-02-07,21.4
2014-02-06,21.6
2014-02-05,21.4
2014-02-04,21.43
2014-02-03,21.85
2014-01-31,21.9
2014-01-30,21.95
2014-01-29,22.25
2014-01-28,22.11
2014-01-27,22.32
2014-01-24,22.84
2014-01-23,22.95
2014-01-22,23.19
2014-01-21,22.84
2014-01-20,22.7
